,Unnamed: 0,chr,start,end,n,B,S,estimate,se,z,p.value,p.adjust
0,1,chr19,424804,424805,2,0.651239119692016,0.235447712648418,0.651239119692016,0.235447712648418,2.7659606983078997,0.0056755374462536794,1
1,2,chr19,424799,424799,1,0.510450839719108,0.223075779313,0.510450839719108,0.223075779313,2.2882396344916,0.0221235697544843,1
2,3,chr19,424802,424803,2,0.44883412322322397,0.22007073688578402,0.44883412322322397,0.22007073688578402,2.03949934268711,0.0414002167598081,1
3,4,chr19,424801,424801,1,0.22555643441796103,0.231955183648568,0.22555643441796103,0.231955183648568,0.9724138554269108,0.330844701760783,1
4,5,chr19,424800,424800,1,0.174205702308352,0.237130563129505,0.174205702308352,0.237130563129505,0.7346404445268092,0.46255849959799794,1
5,6,chr7,199960,199960,1,0.7879815003607661,0.247388084427522,0.7879815003607661,0.247388084427522,3.18520393649607,0.00144652030941615,1
6,7,chr7,199961,199961,1,0.555721337120843,0.25486247232968806,0.555721337120843,0.25486247232968806,2.18047534437304,0.0292222445116285,1
7,8,chr7,199964,199964,1,0.5119406578203199,0.256040173088703,0.5119406578203199,0.256040173088703,1.9994544279696398,0.0455592079682673,1
8,9,chr7,199962,199962,1,0.163568888741686,0.261696916573034,0.163568888741686,0.261696916573034,0.6250317767731011,0.5319502025112299,1
9,10,chr7,199963,199963,1,0.00649666945292646,0.260689352690488,0.00649666945292646,0.260689352690488,0.0249211154421018,0.980117884776417,1
10,11,chr1,10978,10979,2,-0.511676948852439,0.23697318605710802,-0.511676948852439,0.23697318605710802,-2.15921875958207,0.030833199339648,1
11,12,chr1,10977,10977,1,-0.482621040238258,0.24517182203739102,-0.482621040238258,0.24517182203739102,-1.96850125853636,0.0490103914476958,1
12,13,chr6,174354,174355,2,-0.493715675124788,0.240123532033846,-0.493715675124788,0.240123532033846,-2.05609034209608,0.0397738089929448,1
13,14,chr6,174364,174364,1,-0.499475247393322,0.25441389556169,-0.499475247393322,0.25441389556169,-1.963238864334,0.0496184254329875,1
14,15,chr6,174360,174360,1,-0.47417063276039506,0.25448474439303803,-0.47417063276039506,0.25448474439303803,-1.86325759483666,0.0624260331627337,1
15,16,chr6,174356,174356,1,-0.350101525723188,0.259684607818353,-0.350101525723188,0.259684607818353,-1.3481797348885602,0.177600580891702,1
16,17,chr6,174359,174359,1,-0.3374861162964001,0.259090942578037,-0.3374861162964001,0.259090942578037,-1.30257782436664,0.19271893263779602,1
17,18,chr6,174358,174358,1,-0.313010590378017,0.260667683145751,-0.313010590378017,0.260667683145751,-1.20080320890027,0.22982754682699,1
18,19,chr6,174357,174357,1,-0.0717449435981197,0.263519036437288,-0.0717449435981197,0.263519036437288,-0.27225715670523604,0.785424296295749,1
19,20,chr6,174363,174363,1,-0.452920072330247,0.256816743885165,-0.452920072330247,0.256816743885165,-1.76359245693407,0.0778006185928729,1
20,21,chr6,174361,174361,1,-0.33570819858627104,0.260088597559605,-0.33570819858627104,0.260088597559605,-1.29074554492661,0.19679192601256698,1
21,22,chr6,174362,174362,1,-0.213177899690136,0.262251127997245,-0.213177899690136,0.262251127997245,-0.812876960027321,0.416288605468923,1
22,23,chr1,27678,27679,2,0.526381211749266,0.238107913574193,0.526381211749266,0.238107913574193,2.21068339916913,0.0270577689092428,1
23,24,chr10,242991,242991,1,0.606325659011043,0.24571726872231897,0.606325659011043,0.24571726872231897,2.4675744694860695,0.0136031922765714,1
24,25,chr10,242993,242994,2,0.478290804580332,0.244028117549359,0.478290804580332,0.244028117549359,1.9599823552447302,0.0499978526844237,1
25,26,chr10,242992,242992,1,0.454464595749209,0.25006603330539895,0.454464595749209,0.25006603330539895,1.8173783529976002,0.0691591999900891,1
26,27,chr10,243512,243512,1,0.625329650937,0.261661501332119,0.625329650937,0.261661501332119,2.38984202014223,0.0168556214467552,1
27,28,chr10,243509,243509,1,0.6217842504278199,0.26996348704775197,0.6217842504278199,0.26996348704775197,2.30321610239772,0.0212666872787531,1
28,29,chr10,243510,243510,1,0.321342145435215,0.25996262120145397,0.321342145435215,0.25996262120145397,1.2361090373304,0.216418036052522,1
29,30,chr10,243511,243511,1,-0.211295223677382,0.28954245005902696,-0.211295223677382,0.28954245005902696,-0.729755597613777,0.46553959006451895,1
30,31,chr10,250382,250382,1,0.53865553159014,0.221744041963242,0.53865553159014,0.221744041963242,2.42917702239519,0.0151331414369514,1
31,32,chr10,250383,250383,1,0.474402825428622,0.224404350672335,0.474402825428622,0.224404350672335,2.114053600152,0.0345106895772056,1
32,33,chr11,269351,269353,3,0.54348475239201,0.18252306542264998,0.54348475239201,0.18252306542264998,2.97762231383479,0.0029049370907898602,1
33,34,chr11,281613,281614,2,0.507149112178926,0.20141378681545197,0.507149112178926,0.20141378681545197,2.51794636403717,0.0118041294937051,1
34,35,chr14,326350,326350,1,0.5969277563995059,0.26723531873866396,0.5969277563995059,0.26723531873866396,2.23371580978507,0.0255017780798231,1
35,36,chr14,326347,326347,1,0.565164209390159,0.271573649138707,0.565164209390159,0.271573649138707,2.0810716031639,0.0374273525991609,1
36,37,chr14,326349,326349,1,0.254155985980072,0.27041409590896304,0.254155985980072,0.27041409590896304,0.9398769880163191,0.347280662410655,1
37,38,chr14,326348,326348,1,0.10327579363237599,0.26630725507076697,0.10327579363237599,0.26630725507076697,0.387806909747662,0.698158931706049,1
38,39,chr14,328886,328886,1,0.802133474413153,0.258957180944705,0.802133474413153,0.258957180944705,3.0975525431922,0.00195125802318427,1
39,40,chr14,328883,328883,1,0.657650728539362,0.274819373002873,0.657650728539362,0.274819373002873,2.3930289970223,0.0167099204129649,1
40,41,chr14,328885,328885,1,0.081170180615586,0.276807080569123,0.081170180615586,0.276807080569123,0.29323737112756604,0.769340720909463,1
41,42,chr14,328884,328884,1,0.0231998811252603,0.274338994467574,0.0231998811252603,0.274338994467574,0.0845664728424251,0.932606054349898,1
42,43,chr14,335782,335784,3,0.507602972145069,0.18194242349423398,0.507602972145069,0.18194242349423398,2.7899099198332595,0.00527227081085121,1
